index,text,label
0,"7 JAM PEMERIKSAAN 2 JAM FOTO2. Luar biasa aura kegembiraan para dokter dan 50 profesor dari seluruh Indonesia yg tergabung dalam Ikatan Dokter Indonesia ( IDI) yg melakukan pemeriksaan kesehatan pada Pak PS dan Sandi. Pak PS dan Sandi mulai pemeriksaan di RSPAD tadi pagi pukul 8 , dan karena sesi terakhir adalah wawancara , dimana Sandi duluan, jadi Sandi selesai pukul 5 dan Pak PS selesai pas maghrib sekitar pukul 6. Sandi kemudian menunggu Pak PS sambil dikerubuti para dokter. Namun sejak pukul 4 sore antusiasme dokter dan para profesor memang luar biasa, semua sdh berkumpul di ruang pemeriksaan.Mereka setia berdiri menunggu meski pemeriksaan belum selesai. Selain sesi foto bersama para dokter dan petugas RS, setiap break pasti ada saja yg minta foto atau selfie. Aura kegembiraan terpancar dari wajah para dokter dan perawat. Bahkan saat Pak Ps dan Sandi akhirnya duduk bersama utk sei foto bersama disambut dng sorak sorai. Tak heran saat jumpa pers Sandi mengatakan pada wartawan sebetulnya pemeriksaannya hanya 7 jam, tapi fotonya 2 jam. Oh ya dibandingkan pasangan JKW-MA, pasangan Prabowo -Sandi lebih cepat selesai dalam pemeriksaan.Pasangan JKW-MA baru selesai pukul 20.00 , sedangkan PS-Sandi pukul 18.00 WIB. Note: ibu-ibu dokter fotonya sama bang Sandi nggak kuku dech gemes ya buk? Emang bener pasangan PAS membuat Indonesia terbelah. Yang bapak2 vote PSD 08, yang emak2 vote Uno",0
1,"Terbitkan Perpres No 20 Tahun 2018, Presiden Dinilai Panik April 7, 2018 Presiden KSPI Said Iqbal/Foto via harianterbit/Nusantaranews NUSANTARANEWS.CO Keluarnya peraturan presiden (Perpres) Nomor 20 Tahun 2018 tentang Penggunaan Tenaga Kerja Asing menunjukkan kepanikan Presiden Joko Widodo dan jajaran pemerintahannya untuk mencari dana segar investasi dalam rangka kejar target dan kejar tayang pembangunan infrastruktur jelang Pilpres 2019. Saya berpendapat, Perpres ini akan mengorbankan tenaga kerja lokal yang tidak bisa terserap bekerja dalam lapangan kerja sehubungan dengan masuknya investasi. Apalagi jika masuknya investasi juga diikuti dengan masuknya buruh-buruh kasar (unskill workers) yang didatangkan langsung dari China. Jangankan ada Perpres, tidak ada Perpres saja buruh China datang menbanjiri Indonesia, dimana hal ini *Melanggar Undang-Undang Nomor 13 tahun 2003 dan UUD 1945.* Apalagi dengan adanya Perpres yang mempermudah TKA, patut diduga jumlah buruh kasar TKA China akan berkali-kali lipat jumlahnya bisa membanjiri Indonesia sehingga buruh lokal akan menjadi penonton di negrinya sendiri. # Note: ""Bangsa Yang Besar Tidak Akan Merendahkan Diri Di Hadapan Aseng"" *#2109GantiPresiden.* R@***",0
2,"MURADI: TIM SELEKSI KPU JABAR YANG JUGA STAF AHLI UTAMA KSP JOKOWI DAN KOMISARIS WASKITA KARYA Muradi adalah salah satu contoh carut marutnya penempatan pejabat di negeri ini, yg penuh dengan intrik politisasi demi kepentingan kelompok. Muradi adalah salah satu Tim Seleksi (Timsel) KPU Jabar yg belum lama ini dilantik keanggotaannya oleh KPU Pusat, Kamis 3/5/2018. Tugasnya adalah menyeleksi calon anggota KPU Provinsi dan KPU Kabupaten/ Kota periode 2018-2023. Tugas ini sangat penting karena Muradi akan menentukan calon2 penyelenggara terbaik untuk Pemilu lima tahun mendatang. Karena itu negara membutuhkan orang yg berintegritas, jujur, adil, dan jauh dari kepentingan pribadi maupun kelompok. Apakah Muradi adalah orang yg berintegritas seperti dimaksud tsb..? Coba tengok jejaknya. Muradi SS, MSi, MSc, PhD, adalah Dosen Sarjana dan Pascasarjana Politik dan Pemerintahan di Universitas Padjajaran. Ia juga tercatat sebagai Staf Ahli Utama KSP Jokowi. Bahkan belum lama Muradi pun diangkat pula sebagai Komisaris Independen BUMN Waskita Karya. Dan kini Muradi terpilih sebagai TIMSEL KPU JABAR 2018-2023. Apakah dengan kedudukannya di KSP yg notabene adalah orang Jokowi, Muradi dapat menjaga kenetralan dan integritasnya di Timsel KPU..? Bukankah Timsel harus diisi oleh personal yg tidak berpihak dan terjaga independensinya? Perlu dicatat, Muradi adalah juga Ketua Timsel Wilayah A yg menyeleksi anggota Badan Pengawas Pemilu (Panwaslu) tahun 2017 lalu. Apakah bisa diharapkan Pilpres kelak dapat terjaga kenetralannya jika sejak dari Timselnya diisi oleh orang yg memiliki kepentingan politik? Bagaimana mau menyangkal bahwa Muradi tidak berpihak, sedangkan akun FB nya mengunggah foto acara 'Rembuk Nasional Aktivis '98', dan menuliskan caption: Alhamdulillah #2019tetapjokowi #98solid..? Padahal jelas2 disebutkan oleh Faizal Assegaf yg menjadi aktornya bahwa acara tsb adalah bertujuan untuk Membubarkan PKS..? Mau dibawa kemana NKRI, jika baru dalam proses pembentukan petugas penyelenggara pemilu saja sudah dipilih Tokoh Penyeleksi Yang TIDAK NETRAL? Ini baru ketahuan satu Muradi. Apakah mungkin masih ada lagi Muradi2 yg lainnya... NOTE: Foto screen shot status Fb Muradi di bawah ini diambil dari akun ibu dr. Nikmah Sagran. Sekarang postingan foto tsb sudah tidak tampak di akun Muradi. Setelah kejadian ini mencuat di medsos, entah statusnya itu sudah ia setting pribadi, ataukah sudah dihapus.",0
3,"Kaos Kampanye PilGub / PilBup / PiLeg / PilPres minimal 3000 pcs Bahan Hyget Tipis Gramasi 70-80 Rp.7500 , Hyget Sedang Gramasi 90-100 Rp.8500 , Hyget Super Gramasi 110-120 Rp.9500 , Bahan PE Single tipis Gramasi 120-130 Rp.11.000 , PE Single Sedang Gramasi 140-150 Rp.12.500 , Bahan PE Double Gramasi 150-160 Rp.15.000 , Bahan Drifit / Billabong Jersey Rp.16.000 Harga Diatas untuk kaos Standar Badan warna Putih dan sudah termasuk kombinasi warna lengan dan leher Dengan warna yang berbeda dan juga sudah termasuk gambar uk A4 ( Max Ukuran gambar 30 Cm X 30 Cm ) depan dan belakang. Harga diatas Masih bisa Nego lagi Tergantung Jumlahnya . Kami sudah berpengalaman puluhan tahun dalam pembuatan Kaos , Kapasitas produksi kami bisa sampai 50rb pcs/hari workshop sendiri, siap bantu pengiriman ke seluruh indonesia ,boleh survey. SILAHKAN Kunjungi Website kami di Home page : pusatkaosmurah.com FB: https://www.facebook.com/pusatbuatkaos?ref=hl Email : admin@pusatkaosmurah.com Hub: judea liando Hp: ( Whatsapp : 085353528855 / 0856-1347143 ) 087-882229186 / 0896-22609222 . PIN BB D7D78989 / 7ED8D382 Alamat Jln. Jalan Raya Pangeran Tubagus Angke no 18 Komplek Ruko Vulaknin Blok A2 Jelambar Wijaya Kusuma Jakarta Barat.",0
4,"TIMSES JOKOWI MA'RUF AMIN MENGAKUI JOKOWI MARUF KALAH TELAK FAKTANYA DI LAPANGAN MASYARAKAT MEMILIH PRABOWO SANDI 73% NAMUN MENANG MUTLAK DI POLING DAN HASIL SURVEY RATA RATA MENDUKUNG JOKOWI MA'RUF AMIN 70% Tim Jokowi Akui Ma'ruf Amin Kalah Populer dari Sandiaga CNN Indonesia Tim Kampanye Nasional Calon Wakil Presiden Ma'ruf Amin mengakui, kalau popularitas unggulan mereka belum bisa menyaingi rivalnya dalam Pilpres 2019, Sandiaga Salahuddin Uno. Namun, mereka yakin lambat laun bisa membalikkan keadaan itu. ""Jadi memang kalau hari ini kami memang masih belum begitu baik dibandingkan dengan kelompok sebelah, dengan Pak Sandiaga dengan Kiai Maruf, saya kira itu hal yang wajar,"" ujar Juru bicara TKN Irma Suryani Chaniago, di Rumah Cemara, Jakarta, Kamis (27/9). Lihat juga: Aktivis NU: Sandi Diberi Tempe, Ma'ruf Dipertemukan Mahfud MD Pernyataan Irma menanggapi hasil jajak pendapat lembaga survei Indikator, yang menyatakan popularitas Ma'ruf ada di angka 70 persen, sedangkan Sandiaga mencapai 73 persen. Irma berkilah hal itu terjadi karena Sandiaga sudah rajin melakukan safari politik. Pak Maruf Amin selama ini kan belum turun sebagaimana yang dilakukan Pak Sandiaga dalam safari politik yang selama ini dilakukan,"" ujar Irma. Irma mengklaim Maruf tidak mengikuti langkah Sandiaga untuk melakukan safari politik sebelum masa kampanye lataran taat pada aturan. Oleh karena itu, ia menyebut Ma'ruf baru melakukan safari politik usai masa kampanye dibuka oleh Komisi Pemilihan Umum pada 23 September lalu. Lebih lanjut, politikus Partai NasDem ini yakin popularitas Ma'ruf bakal menanjak selama kampanye berlangsung. Sebab, ia mengklaim pihaknya sudah menyusun agenda kampanye bagi Ma'ruf hingga ke tingkat akar rumput. ""Saya kira ke depan kami akan mampu mengungguli,"" ujar Irma. Selain soal popularitas, Irma juga meyakini mampu menguasai sepuluh persen suara massa mengambang di pemilihan presiden 2019. Hasil survei Indikator menyebut sebanyak 57,7 persen masyarakat mendukung Jokowi-Ma'ruf, dan 32,3 persen mendukung Prabowo Subianto-Sandiaga Uno. Ia mengaku TKN akan mengerahkan semua relawan dari tingkat pusat hingga kecamatan buat meyakinkan para calon pemilih. ""InsyaAllah kami bisa memenangkan kontestasi ini di 2019 nanti,"" ujarnya.",0
5,"Kasihan anak-anak baik di sekeliling saya. Demi dakwah, kami sering memproduksi barang (buku, syal, mug Palestina dll). Terakhir mug #2019gantipresiden (Siap ambil Selasa insya Allah). Mereka mengelola itu semua. Saya hanya mendanai. Saat diskusi harga, saya sulit memberikan harga. ""Teh, ini jualan ya. Bukan bagi-bagi gratis!"" Baru saja, line terbaru produk dakwah ini bertambah. Jilbab Muthmainnah (Nama mereka yang pilihkan). Jilbab Pingkan dan Tita (Hahahah). Jilbab yang simpel, tidak menerawang, tidak jeplak di badan, menutup dada, dan mudah digunakan. Anti tembem pula, jelas mereka. Saat penentuan harga, lagi-lagi saya kesulitan. ""Ih, teteh mah!"" Ya ya ya. Saya cukup melempar ide, mendanai, dan promosi. Marketing dan pengelolaan tetap bersama Herlin Herliansah dan Indira Sanjaningtyas. Ada yang tertarik dengan jilbab simpel, elegan, syar'i, dan mudah dipakai? Boleh pilih warnanya dari sekarang. Harga? Terserah Herlin dkk. Seperti biasa, keuntungannya untuk dakwah. Foto: Jenis jilbabnya setengah jadi. Bagian leher dipenitikan sendiri sehingga ukuran wajah apa saja, bisa memakai. Begitupun cara mempenitikannya, apakah lurus, atau diserong sedikit. Bahan wolfis, didobel. Harga dan warna tanya Herlin ya. Note: Kameraman adalah pemuda di samping yang tertawa melihat kreativitas baru ini.",0
6,"Aksi patriotik bocah SMP, adik YOHANNES GAMA MARSEKAL LAU (Johni) yang memanjat tiang bendera demi mengibarkan Merah Putih di Kabupaten Belu, Atambua, NTT mendapat perhatian langsung dari BapaknPresiden Ir. Joko Widodo (JOKOWI). Pagi ini, Johni dan orang tuanya telah terbang ke Jakarta untuk bertemu Presiden di Istana Negara. Rombonan Johni akan dijemput di bandara Halim Perdana Kusuma Jakarta oleh pengawal Istana Negara. Setelah itu, Johni diagendakan langsung bertemu dengan Presiden Jokowi. Selain itu, Johni juga mendapat perhatian berupa bantuan dari beberapa kementrian. Misalnya, Kemenpora, Kemendikbud, Kemenkominfo, dan beberapa BUMN termasuk PLN maupun Pertamina serta Panglima TNI. Dari Panglima TNI disiapkan beasiswa sampai perguruan tinggi. Selain bantuan di atas, adik Johni juga mendapat Rp. 25 juta dari Pengacara Kondang Hotman paris hutapea. Setelah bertemu Presiden Joko Widodo, adik Johni juga dijadwalkan menonton langsung pembukaan Asian Games di Jakarta. SALAM SUKSES BUATMU ADIK.... SALAM PERUBAHAN (SUKARNO M. TULIMAU).",0
7,"MCA : MEMANG CEBONG ASLI Dunia maya guncang pasca polisi mengklaim sudah menangkap ketua Muslim Cyber Army (MCA). Momen ini kemudian dipergunakan sebaik-baiknya oleh pendukung Jokowi dan Basuki T. Purnama alias Ahok. Secara masif, mereka terus menggoreng fitnah soal MCA tanpa henti. Hal tersebut sontak menaikkan suhu politik di Indonesia yang sebelumnya sudah panas. Kondisi ini mendadak menjadi antiklimaks setelah seorang warganet berhasil mengungkap sebuah fakta mengejutkan bahwa sebuah akun yang mengaku mantan MCA ternyata merupakan kader Partai Solidaritas Indonesia (PSI). (Baca: DHUAAAR! TERCYDUK! Di Balik Kisah Hoax ""MCA"" TERNYATA Ada Kader PSI. Ini Faktanya!) Usai hal ini terungkap, sebuah fakta mengejutkan lainnya pun mulai terkuak. Beberapa waktu lalu, disebutkan bahwa polisi menangkap Muhammad Luth, orang yang disebut-sebut sebagai ketua MCA. Setelah ditelusuri, warganet justru berhasil membongkar bahwa akun yang disebut-sebut sebagai Ketua MCA merupakan salah satu akun relawan Jokowi dan Ahok (jasmev) yang akrab bergaul dengan relawan Jokowi-Ahok lainnya seperti akun @PartaiSocmed. http://www.portal-islam.id//warganet-lupa-hapus-jejak-ketu",1
8,"Just Info : Bagi Anda yang akan melakukan Deklarasi #2019GantiPresiden atau melakukan Deklarasi #2019TetapJokowi dan juga bagi siapa saja yang mau melaksanakan #Demonstrasi di jalan atau di pinggir sungai (Mancing)... kami Himbau, bahwa kami siap Menyediakan makanan untuk para peserta aksi. bukan cuma itu, untuk Anda Aparat Keamanan Yang bertugas mengamankan atau membubarkan Aksi, tentu anda tidak bisa berhadapan dengan peserta Aksi yang sudah kenyang di saat anda lapar... demi menjaga agar tidak adanya keberpihakan dari kami dan demi Profesionalisme, maka kami tidak menyediakan secara ""GRATIS""... kami siap Menyediakan makanan agar peserta aksi dan petugas makin semangat menjalankan kegiatannya hingga selesai, krn sangat tidak elok jika ada peserta aksi dan petugas yang pingsan krn kelaparan kan??? saat kenyang, saya yakin, semua akan berjalan damai dan tenang.... maka, silahkan hubungi kami... Untuk Pemesanan, silahkan WA kami di Nomor : 0821-9509-1239 atau Inbox Istri ku Tertjinta : Misba Waty... Pesanan Anda akan di Antar Langsung Oleh ""KURAPAN"" (KURirnyA tamPAN)... Note : Menu Berubah Tiap Hari... #SalamKenyang",0
9,"*=UNDANGAN LIPUTAN MEDIA DAN DIALOG KEBANGSAAN===* Kepada Yth, *Pimpinan Ormas/Partai/Tokoh Masyarakat/Habaib-Ulama/Aktivis/OKP/Mahasiswa/Buruh/Seluruh Media* Di Tempat Assalamualaikum wr wb. Puji syukur marilah kita panjatkan kepada Allah SWT, shalawat dan salam kita sampaikan kepada Nabi Besar Muhammad SAW, semoga kita tetap istiqomah menjadi pengikutnya sampai akhir hayat kelak. Amien Ya Robbal Alamin Sehubungan akan diadakan Dialog Kebangsaan dengan tema *""2019 Presiden Harapan Rakyat""* yang diselenggarakan oleh GENTARI (Generasi Cinta Negeri), acara akan diadakan pada: *Hari/tgl : Jum'at, 20 April 2018* *Jam : 13.30 WIB s.d selesai* *Tempat : Restoran Raden Bahari, Jl. Buncit Raya, No 135, Jakarta Selatan* *Pembicara*: 1. DR. (HC) Hj. Rachmawati Soekarnoputri (Key Note Speaker) 2. Prof. DR. H.M. Amien Rais 3. Laksamana (purn) TNI Tedjo Edhi 4. DR. H. Mardhani Ali Sera, M.Eng 5. DR. Rizal Ramli 6. Prof. DR. Yusril Ihza Mahendra, SH, M.Sc 7. Drs. Natalius Pigai, S.I.P Demikian Undangan ini disampaikan. Atas perhatian dan kerjasama yang baik kami ucapkan terima kasih. Jakarta, 18 April 2018 Ttd Panitia Note : 1.Mohon diviralkan 2.Terbuka untuk kawan-kawan media with Roro Mia Jurnalizt JaTim.",0
